,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
534,2023-07-16,137.2683127483184,92.09003424847074,168.57839469684583,130.26500446995604,143.98249528874985,-7.993102339316032,-7.993102339316032,-7.993102339316032,-7.993102339316032,-7.993102339316032,-7.993102339316032,0.0,0.0,0.0,129.27521040900237
535,2023-07-17,137.5366066035308,107.04619054806255,181.86148383070588,130.47178905935152,144.27694788417566,9.237185694533537,9.237185694533537,9.237185694533537,9.237185694533537,9.237185694533537,9.237185694533537,0.0,0.0,0.0,146.77379229806434
536,2023-07-18,137.8049004587432,109.81879965079112,189.80959398422672,130.70959249278238,144.60779721394283,9.225855506382818,9.225855506382818,9.225855506382818,9.225855506382818,9.225855506382818,9.225855506382818,0.0,0.0,0.0,147.03075596512602
537,2023-07-19,138.07319431395555,105.64260929912443,181.0206439515841,130.90997514367174,144.92683139583784,4.893647992158804,4.893647992158804,4.893647992158804,4.893647992158804,4.893647992158804,4.893647992158804,0.0,0.0,0.0,142.96684230611436
538,2023-07-20,138.34148816916792,100.10497778759095,178.477646915319,131.10208570199612,145.23859772787952,2.2521705600438073,2.2521705600438073,2.2521705600438073,2.2521705600438073,2.2521705600438073,2.2521705600438073,0.0,0.0,0.0,140.5936587292117
539,2023-07-21,138.6097820243803,90.0050887337445,166.5304313910994,131.32955529479045,145.569385498748,-11.322762723418943,-11.322762723418943,-11.322762723418943,-11.322762723418943,-11.322762723418943,-11.322762723418943,0.0,0.0,0.0,127.28701930096136
540,2023-07-22,138.8780758795927,95.79914948117433,171.64474674811223,131.53580624815856,145.9380435457619,-6.292994690325136,-6.292994690325136,-6.292994690325136,-6.292994690325136,-6.292994690325136,-6.292994690325136,0.0,0.0,0.0,132.58508118926756
541,2023-07-23,139.14636973480506,90.12349216643479,171.2182504408223,131.73015947389425,146.25557085514077,-7.9931023393201865,-7.9931023393201865,-7.9931023393201865,-7.9931023393201865,-7.9931023393201865,-7.9931023393201865,0.0,0.0,0.0,131.15326739548487
542,2023-07-24,139.41466359001745,111.99065578098819,185.72998541312163,131.926771180484,146.53709431423087,9.23718569449989,9.23718569449989,9.23718569449989,9.23718569449989,9.23718569449989,9.23718569449989,0.0,0.0,0.0,148.65184928451734
543,2023-07-25,139.68295744522985,111.14676669285471,188.67486002152572,132.1341460297601,146.81407591461917,9.22585550638886,9.22585550638886,9.22585550638886,9.22585550638886,9.22585550638886,9.22585550638886,0.0,0.0,0.0,148.9088129516187
544,2023-07-26,139.9512513004422,108.00500084639883,185.57040201313515,132.3556579910177,147.09550312913345,4.893647992178043,4.893647992178043,4.893647992178043,4.893647992178043,4.893647992178043,4.893647992178043,0.0,0.0,0.0,144.84489929262025
545,2023-07-27,140.2195451556546,104.84394045608958,180.00019912548987,132.5630217737444,147.41766081856372,2.2521705600200193,2.2521705600200193,2.2521705600200193,2.2521705600200193,2.2521705600200193,2.2521705600200193,0.0,0.0,0.0,142.47171571567463
546,2023-07-28,140.48783901086696,88.32329858223177,166.35432040745678,132.7711403606391,147.70595435706363,-11.322762723426628,-11.322762723426628,-11.322762723426628,-11.322762723426628,-11.322762723426628,-11.322762723426628,0.0,0.0,0.0,129.16507628744034
547,2023-07-29,140.75613286607935,96.6095613484031,173.91908311943854,132.98714698641845,148.01687662793984,-6.292994690323867,-6.292994690323867,-6.292994690323867,-6.292994690323867,-6.292994690323867,-6.292994690323867,0.0,0.0,0.0,134.4631381757555
548,2023-07-30,141.02442672129175,95.81471694352082,172.27351835628076,133.2060759526079,148.34301980719778,-7.993102339323168,-7.993102339323168,-7.993102339323168,-7.993102339323168,-7.993102339323168,-7.993102339323168,0.0,0.0,0.0,133.03132438196857
549,2023-07-31,141.2927205765041,111.15304294702767,188.54505888026023,133.42351137309427,148.7156611548168,9.237185694500441,9.237185694500441,9.237185694500441,9.237185694500441,9.237185694500441,9.237185694500441,0.0,0.0,0.0,150.52990627100456
550,2023-08-01,141.56101443171653,112.02013329060107,191.77796184592054,133.61722361717784,149.08386235464351,9.22585550636414,9.22585550636414,9.22585550636414,9.22585550636414,9.22585550636414,9.22585550636414,0.0,0.0,0.0,150.78686993808066
551,2023-08-02,141.82930828692886,110.08825269157767,188.61354628809366,133.82583248375585,149.42283489656995,4.893647992136138,4.893647992136138,4.893647992136138,4.893647992136138,4.893647992136138,4.893647992136138,0.0,0.0,0.0,146.722956279065
552,2023-08-03,142.09760214214128,106.98928305675047,181.66691498483416,134.03851554212437,149.75320900379617,2.252170560044881,2.252170560044881,2.252170560044881,2.252170560044881,2.252170560044881,2.252170560044881,0.0,0.0,0.0,144.34977270218616
553,2023-08-04,142.36589599735365,93.85476002085879,169.5384233619695,134.25618227699175,150.08358311102234,-11.322762723408605,-11.322762723408605,-11.322762723408605,-11.322762723408605,-11.322762723408605,-11.322762723408605,0.0,0.0,0.0,131.04313327394505
554,2023-08-05,142.634189852566,95.24792980365096,176.52777817620557,134.46829861005594,150.41395721824853,-6.292994690323033,-6.292994690323033,-6.292994690323033,-6.292994690323033,-6.292994690323033,-6.292994690323033,0.0,0.0,0.0,136.34119516224297
555,2023-08-06,142.90248370777843,94.01886258634677,172.64034435840685,134.65480623424588,150.73516310847197,-7.993102339326151,-7.993102339326151,-7.993102339326151,-7.993102339326151,-7.993102339326151,-7.993102339326151,0.0,0.0,0.0,134.90938136845227
556,2023-08-07,143.1707775629908,112.08282482854855,190.34262305189776,134.86551524428492,151.04389481673735,9.237185694525852,9.237185694525852,9.237185694525852,9.237185694525852,9.237185694525852,9.237185694525852,0.0,0.0,0.0,152.40796325751666
557,2023-08-08,143.43907141820316,114.04922494127115,189.59138825147264,135.05633455202292,151.3726284578597,9.225855506370184,9.225855506370184,9.225855506370184,9.225855506370184,9.225855506370184,9.225855506370184,0.0,0.0,0.0,152.66492692457334
558,2023-08-09,143.70736527341555,110.16777102699433,191.57774770319125,135.2602605015105,151.70595099487744,4.893647992179465,4.893647992179465,4.893647992179465,4.893647992179465,4.893647992179465,4.893647992179465,0.0,0.0,0.0,148.60101326559501
559,2023-08-10,143.97565912862794,105.54236515518265,184.11200988958714,135.44383902816375,152.04208020684766,2.252170560021093,2.252170560021093,2.252170560021093,2.252170560021093,2.252170560021093,2.252170560021093,0.0,0.0,0.0,146.22782968864902
560,2023-08-11,144.24395298384033,94.10863573492777,168.90485375066945,135.627417554817,152.38158667438253,-11.322762723416291,-11.322762723416291,-11.322762723416291,-11.322762723416291,-11.322762723416291,-11.322762723416291,0.0,0.0,0.0,132.92119026042403
561,2023-08-12,144.5122468390527,99.9219248226725,178.19488117854561,135.81357873992184,152.71525135507872,-6.292994690321767,-6.292994690321767,-6.292994690321767,-6.292994690321767,-6.292994690321767,-6.292994690321767,0.0,0.0,0.0,138.21925214873093
562,2023-08-13,144.78054069426508,95.71449534269756,173.99326122293863,136.01421370225,152.98966921469352,-7.9931023393150955,-7.9931023393150955,-7.9931023393150955,-7.9931023393150955,-7.9931023393150955,-7.9931023393150955,0.0,0.0,0.0,136.78743835494998
563,2023-08-14,145.04883454947748,112.95374143231962,192.00323381301962,136.2288585785857,153.28341176012438,9.237185694501537,9.237185694501537,9.237185694501537,9.237185694501537,9.237185694501537,9.237185694501537,0.0,0.0,0.0,154.286020243979
564,2023-08-15,145.31712840468984,116.52978663676743,196.98121256501065,136.3940611928491,153.61401267687955,9.225855506381514,9.225855506381514,9.225855506381514,9.225855506381514,9.225855506381514,9.225855506381514,0.0,0.0,0.0,154.54298391107136
565,2023-08-16,145.5854222599022,109.53961703483573,192.2919005455553,136.58989703150314,153.9690874577278,4.893647992137559,4.893647992137559,4.893647992137559,4.893647992137559,4.893647992137559,4.893647992137559,0.0,0.0,0.0,150.47907025203978
566,2023-08-17,145.8537161151146,107.32596670636755,186.0774016435666,136.806716555101,154.31612221013916,2.252170559997305,2.252170559997305,2.252170559997305,2.252170559997305,2.252170559997305,2.252170559997305,0.0,0.0,0.0,148.1058866751119
567,2023-08-18,146.12200997032699,97.27284757072269,174.77048802969725,137.0442486995909,154.65719673270536,-11.322762723410719,-11.322762723410719,-11.322762723410719,-11.322762723410719,-11.322762723410719,-11.322762723410719,0.0,0.0,0.0,134.79924724691625
568,2023-08-19,146.39030382553938,100.4175317416861,179.4304861904826,137.25731391889627,154.99008808872355,-6.2929946903209295,-6.2929946903209295,-6.2929946903209295,-6.2929946903209295,-6.2929946903209295,-6.2929946903209295,0.0,0.0,0.0,140.09730913521844
569,2023-08-20,146.65859768075177,100.99492499047827,178.5458512280479,137.45461235168847,155.32555187587033,-7.993102339361361,-7.993102339361361,-7.993102339361361,-7.993102339361361,-7.993102339361361,-7.993102339361361,0.0,0.0,0.0,138.6654953413904
570,2023-08-21,146.9268915359641,115.02492260295784,196.0574735229964,137.62305640935307,155.66105618979606,9.237185694526952,9.237185694526952,9.237185694526952,9.237185694526952,9.237185694526952,9.237185694526952,0.0,0.0,0.0,156.16407723049105
571,2023-08-22,147.1951853911765,116.20922453009392,194.74603446722992,137.82725522869293,155.996741175978,9.225855506387555,9.225855506387555,9.225855506387555,9.225855506387555,9.225855506387555,9.225855506387555,0.0,0.0,0.0,156.42104089756404
