,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-01-02,44.595701,-0.4741817295528428,75.33195687477759,44.595701,44.595701,-7.993102339327722,-7.993102339327722,-7.993102339327722,-7.993102339327722,-7.993102339327722,-7.993102339327722,0.0,0.0,0.0,36.60259866067228
1,2022-01-03,44.62650609035813,15.339590395200164,92.67590064711536,44.62650609035813,44.62650609035813,9.237185694520806,9.237185694520806,9.237185694520806,9.237185694520806,9.237185694520806,9.237185694520806,0.0,0.0,0.0,53.86369178487893
2,2022-01-04,44.657311180716256,14.650448851105693,93.89173701865253,44.657311180716256,44.657311180716256,9.225855506409863,9.225855506409863,9.225855506409863,9.225855506409863,9.225855506409863,9.225855506409863,0.0,0.0,0.0,53.88316668712612
3,2022-01-05,44.68811627107438,10.135499244119133,88.12464399002609,44.68811627107438,44.68811627107438,4.89364799215384,4.89364799215384,4.89364799215384,4.89364799215384,4.89364799215384,4.89364799215384,0.0,0.0,0.0,49.581764263228216
4,2022-01-06,44.71892136143251,8.27028722441215,82.7984044297699,44.71892136143251,44.71892136143251,2.252170560001287,2.252170560001287,2.252170560001287,2.252170560001287,2.252170560001287,2.252170560001287,0.0,0.0,0.0,46.971091921433796
5,2022-01-07,44.749726451790636,-4.442287937778866,72.04161011314582,44.749726451790636,44.749726451790636,-11.322762723428333,-11.322762723428333,-11.322762723428333,-11.322762723428333,-11.322762723428333,-11.322762723428333,0.0,0.0,0.0,33.4269637283623
6,2022-01-08,44.780531542148765,-0.1924424849616378,77.49437395783856,44.780531542148765,44.780531542148765,-6.292994690327752,-6.292994690327752,-6.292994690327752,-6.292994690327752,-6.292994690327752,-6.292994690327752,0.0,0.0,0.0,38.48753685182101
7,2022-01-09,44.81133663250689,0.5524394598477089,73.39488557771533,44.81133663250689,44.81133663250689,-7.993102339316666,-7.993102339316666,-7.993102339316666,-7.993102339316666,-7.993102339316666,-7.993102339316666,0.0,0.0,0.0,36.81823429319022
8,2022-01-10,44.842141722865016,17.294373139160548,94.05752070207748,44.842141722865016,44.842141722865016,9.237185694546218,9.237185694546218,9.237185694546218,9.237185694546218,9.237185694546218,9.237185694546218,0.0,0.0,0.0,54.079327417411236
9,2022-01-11,44.87294681322314,16.829201504633808,89.77500104452832,44.87294681322314,44.87294681322314,9.225855506385143,9.225855506385143,9.225855506385143,9.225855506385143,9.225855506385143,9.225855506385143,0.0,0.0,0.0,54.09880231960828
10,2022-01-12,44.903751903581266,11.03596245500215,84.47226117634979,44.903751903581266,44.903751903581266,4.893647992111935,4.893647992111935,4.893647992111935,4.893647992111935,4.893647992111935,4.893647992111935,0.0,0.0,0.0,49.797399895693204
